0.8 SANISH NEW 30-05-26,,,
THICKNESS,DESIGN NO,FINISH,SHEETS
0.8,6577,UG,
0.8,6582,UG,
0.8,6583,UG,
0.8,6594,UG,
0.8,6595,UG,
0.8,6598,UG,
0.8,6599,UG,
0.8,6676,UG,
0.8,6678,UG,
0.8,6679,UG,
0.8,6681,UG,
0.8,6682,UG,
0.8,6683,UG,
0.8,6692,UG,
0.8,6697,UG,
0.8,6707,UG,
0.8,6748,UG,
0.8,6754,UG,
0.8,6790,UG,
0.8,6935,UG,
0.8,6950,UG,
0.8,6952,UG,
0.8,6963,UG,
0.8,6694 H,UG,
0.8,6306,VF,
0.8,6314,VF,
0.8,6354,VF,
0.8,6360,VF,
0.8,6361,VF,
0.8,6598,VF,
0.8,6906,VF,
0.8,6020,VS,
0.8,6040,VS,
0.8,6064,VS,
0.8,6066,VS,
0.8,6008,ZK,
0.8,6020,ZK,
0.8,6343,ZK,
0.8,6355,ZK,
0.8,6390,ZK,
0.8,6395,ZK,
